"review_name","review_stars","review_comment"
"t(^__^t)","1.0 out of 5 stars","5'11"" ; 155lbs ; size: medium
I don't think I've ever hated a shirt more in my life. I don't think I've ever hated any shirt before, actually.. But these shirt are exceptionally garbage. I put one on right out of the package; it was too big. 100% cotton, it'll shrink. Lit.
Washed and dried them all, and I'm writing this after wearing each of them once. Overall, I am like.. angry at these shirts. I mean it. These shirts suck so bad that I just want to kick something small and defenseless to let off some steam. Every single collar shrunk and is too tight, but the back still manages to hang down uncomfortably far. And I have a decently thin neck. I think it's like 15 inches, iirc. I've never worn a medium and thought the collar was too tight. Every medium I've ever bought has fit me; some better than others, sure, but this is my first time ever writing a passionate review ABOUT SHIRTS. Anyway, the sleeves poke straight out—like little goblin ears, right at the bottom of your shoulder muscle. And speaking of shoulders, the top of the sleeve, where the seams meet up.. that's like 0.75"" away from where it should be. AND LASTLY (I hate Gildan so much for forcing me to write such a long review; I'm busy, I don't wanna be doing this, but you forced my hand Gildan, you son of a bitch. You made such a terrible shirt that I felt FORCED to make time to let you know that I hate you and everyone else who was involved in the process of making these shirts), the bottom seam flips up. 6 our of 6 shirts, I could not make that bottom seam lay flat for more than 30 seconds.
Love,
Jon
P.S. Gildan, the fact that you thought I might enjoy any aspect of any of these shirts is offensive to me, and I consider it SIGNIFICANTLY disrespectful that you thought my standards were so low. I will fight you in a parking lot just to preserve my honor. Also, I'm not even going to donate these to Goodwill; poor people are honestly just better off naked."
"Jpm99g","1.0 out of 5 stars","Beware go to the website for Gildan crew t-shirts or just look at the picture here.. I received stitching falling out of shirts almost transparent can see right through them the real shirts from this website picture show the name tags embroidered. The one I received has hanging tags looks like it came from a fleamarket not factory sealed in a bag and was just thrown in a shipping bag all dusty wrapped up in a ball.. $25 better off buying Haynes."
"Amazon Customer","1.0 out of 5 stars","Well I usually buy from your site and have good things to say. However this time I’m not so happy, first the shirts you had sent aren’t even Gildan shirts, they are some random shirts you got, that don’t even have a name. They are suppose to be tagless however again disappointed. The material is cheap and not worth the price I paid! I’m sorry I have to choice a new place to buy from, as I have bought from you numerous times. ☹️😤"
"Amazon Customer","1.0 out of 5 stars","Okay let me start by saying the tshirts feel nice and fit the body well. My biggest complaint is the sleeves. They are missing about 2 inches in length. Looks ridiculous so now they are for bed. I say if your looking for a casual tshirt to wear with jeans or chinos... do not buy these shirts. Save your money or spend a little more and buy good shirts such as Calvin Klein or Tommy. But you can’t compare this brand to those so again...if these are for leisure around the house or bed then they may be for you. In my opinion not for jeans and tshirt day. Again this only my opinion and these may be a great fit/look for some, but not for me!"
"BM","1.0 out of 5 stars","I always wash my clothes in cold water and dry with very low heat to minimize any shrinkage. These shirts shrank so bad i can't even tuck them into my pants! I have other t-shirts made by Gildan that do not shrink but I would stay away from these unless you wash in cold water and air dry your t-shirts! I realize these are cheap but i have similar cheap Hanes t-shirts that barely shrink after washing and drying."
"Amazon Customer","1.0 out of 5 stars","Took one out and tried in on when I received them. Felt a little small for a medium. Ia'm 5'10"" and 170 lbs. The biggest concern was the fabric. The label says 100% cotton. If it's cotton it has to the lowest grade of cotton. Fells like you are wearing burlap [very itchy]. Decided to wash all 6 in cold water to see if the itchiness would improve. They still are very itchy! They are really like you are wearing burlap! Also after washing them they have shrunk. I feel the collar on the front of my neck and they are also now tight in the arm pits. I have decided to use them for RAGS!"
"W Burt","1.0 out of 5 stars","Bought 1 size large (XL) planning on some minimal shrinkage on washing. Tried them on before laundering, black were noticeably longer than gray, but all were ok. Washed once in cold water, dried permanent press low heat setting. All shirts were at least 2"" shorter after laundering, and no longer are wearable for me. Missed return window, but won't be ordering this product again, unless it's in a tall size (which isn't offered on Amazon). Too bad, as they're a great weight to wear under a sweater this time of year."
"Kenny","1.0 out of 5 stars","I found the sleeve cuff stitching to be very scratchy and irritated the areas around by biceps. Collar was fairly rough as well.
You're definitely buying cheapest on the market with this product, but keep in mind it's at the cost of any reminiscence of comfort.
I bought a shirt from two other fairly cheaper brands (about $7 a shirt) and they were MUCH more comfortable. If you can afford that, get one or two of those other brands instead."
"shopgirl76","1.0 out of 5 stars","I'm really annoyed (to put it politely) at what a complete waste of money these were. I bought these for my husband and they shrank so badly in the wash that it's not even funny. And that's before you realize that, as others have commented, they're basically see-through - so who was the genius (sarcasm!!) who through about massively printing the company name in bright blue on the back???
Waste of money, would NOT recommend. You're better off buying this stuff at Walmart."
"A U","1.0 out of 5 stars","after a few months of owning these, they have stretched out to the point they look and fit like an XXL. And i ordered mediums. They are not slim cut at all, wearing a sail would be more for form fitting. Don't buy, listen to all the recent reviews. I'm severely disappointed."
"kardude","1.0 out of 5 stars","bad! bad! bad! Very bad quality under-shirts with extremely thin material. All shirts came with defects and loose threads everywhere. Never again any product from Gildan!"
"Ray","1.0 out of 5 stars","Few items to note here. First the cost of these shirts are super cheap so I expected them to not be the greatest quality or to last a super long time either. Figured I would buy these for an upcoming vacation and if they lasted after that, it would be a bonus. Two of the four shirts were not even stitched at the sleeve and one had some threads that if pulled would pull apart the collar stitches. There is a difference being of cheaper quality and not even assembling your product properly to sell. With only one good shirt in the bunch, the deal for 15.00 for four shirts really is 15 for one wearable shirt. Beware as you will get what you pay for here."
"Sean","1.0 out of 5 stars","This set of shirts was pretty affordable and had different colors, making it a must buy for me since I wanted to replace a good portion of my undershirts. Arrived today and I put one one. Fit nice, material was nice, but straight out of the package, one shirt has a very noticeable hole in the shoulder seam. Not entirely sure what happened but I hope the seller contacts me and resolves this."
"Blind Faith 99","1.0 out of 5 stars","So the price was right. Hard to complain when it's $2 a shirt. As it turns out, that's about what they're worth. First thing I noticed was that they're short and wide. They're not tapered as suggested in the description and pictures. It's a one-size-fits-all design. That can really be seen in the neck opening. For the Large size that I got, it's a whopping 11.5 inches in diameter. That means for normal men, it will sit low, causing a lot of neck and back to be exposed, and also, the neckline will be really loose. For comparison, my Jockey t-shirts are 8.5 to 10 inches, and a couple that I got at Target (Merona) are 9 inches. To make matters worse, after one wash, the material along the neckline curled badly. An oversized neck opening with a curled rim is NOT a good look. The shirts are simply unwearable in public. So all 6 immediately go into the rag drawer and I'll use them for painting or other messy jobs where it's okay if the shirt gets ruined. No idea why these shirts are getting good reviews."
"gabbertc","1.0 out of 5 stars","The shirts say they are 100% Cotten but I don’t believe I have ever felt such rough scratchy cotton. I have had these shirts for a few weeks now and they have been washed multiple times and are still scratchy. I also put one on this morning and it has a hole in the arm pit. I would not suggest buying these and I will not buy them again."
"Rosie Ortiz","1.0 out of 5 stars","The description of the colors are wrong. Originally ordered two red, one black, one grey and one blue. Received two black, two light gray and one dark gray. Very disappointed. I wanted this set specifically because my boyfriend looks amazing in red and blue. He's my very own Superman!"
"Shawn","1.0 out of 5 stars","One of my shirts came with a big rip on the sleeve seam. Neck seems very tight as well."
"Bob","1.0 out of 5 stars","""Men's Crew T-Shirt"" with 6"" of blouse hanging like a fool, and an absurd toilet bowl seat of a collar -- purposely disguised (downplayed) in the product photos. These might be okay--if you're cool as a ghost pepper n need to shove a pound of cotton in your trousers for that oh so glorious drill sergeant tuck, or you're going to a Halloween party as 1999 Slim Shady--as an undershirt, but unless you're 6'5""+ or very overweight (to compensate for all that material down yonder) yet somehow still have a 42""-44"" chest, then you're going to look completely ridiculous in this clown shirt.
Considering the price point, this is precisely the QC I should've expected from this sorry product -- 'proudly' shelved alongside MainStays goods at WallyWorld. Geez Gildan: I'm done with your company. These are being sent back.
Why should anyone buy these? I guess if you're the type of guy who takes your girl to Arby's for the holidays, then these would make for perfect pajamas to go on your loved one and along with your frugal affairs -- especially when she needs to blast Taco Bell out at 4am the morning after her BDay and there's no time to drop trou.
TL;DR Clown shirt w/ toilet seat for collar."
"Jesse Ellis","1.0 out of 5 stars","Got the shirts because I make custom shirts and pulled it out and undid the tap.. noticed one has a hole in the sleeve"
"Vegas Dweller","1.0 out of 5 stars","Ordered these T-Shirts for winter, they arrived on time. Great, top marks for that, BUT!!
I put one on out of the packet, not so good. I itched all afternoon & evening until I took the damn thing off.
Ok, could be a stupid move on my part to wear something straight out of the pack... Washed T-shirts as we normally do here. No changes in any laundry products, dried on low (some shrinkage not much) used fabric softener AND STILL itchy as all hell.
Put thru on another wash & dry cycle a few days later, put on the T-shirt AND STILL itched all darn day. Tested by wearing one of my ratty old Calvin T-shirts, no itch, no problem. There is definitely something wrong with my batch of T-shirts, sending them back. Watch out you may just end up with some of these T-shirts, not worth the low price or the high aggravation. See these & move on to the next one...."
"Kindle Customer","1.0 out of 5 stars","I was looking for high quality t-shirts and ordered these based upon Amazon reviews. The reviews are wrong. I have a short torso, and these t-shirts run short, so the t-shirt is always escaping from belt and I have to tuck it in. Also, I was expecting a heavy-weight cotton t, but instead this is a thin, light-weight t. All in all, it's pretty uncomfortable.
These shirts were so uncomfortable, I finally wound up throwing them out, replacing them with Fruit of the Loom Stay Tucked In t shirts. The FOL shirts **really** stay tucked in."
"Peter T. Szymonik","1.0 out of 5 stars","So these are perhaps the worst t-shirts I've ever bought. On the plus side, the material is all cotton and feels good. On the downside, their cut is all wrong and if you wonder if a human being tried them on. The neck hole is too small and will choke you, the sleeves are too short and the front of the shirt is longer than the back - making you feel like you're wearing it backwards! (And I have a very normal body.)"
"Thomas K.","1.0 out of 5 stars","I don’t typically write reviews.
But feel compelled as this is a horrible quality product.
I don’t know where they sourced the cotton on this. But it gets worse wash after wash.
The Denier, or density of thread - a unit of measure for the linear mass density of fibers.
In simple terms level of quality. Think 400 thread count sheets vs. 1500.
I wouldn’t use these T-Shirts even as rags in my garage as they will scratch what ever I wipe with it.
The collar materials is even worse. They actually created rub/skin tags on my neck. And yes. I use Name brand Laundry Detergent (Persil) and Fabric Softener (Downy) on a Front load washing machine.
I decided to try these instead of my go to “Kirkland Signature” brand. What an unfortunate experiment.
The Kirkland held together for longer than expected, didn’t pit, and didn’t get holes. The more I washed, the softer they became.
If you have skin of steel and $10 bucks to waste. Go for it."
"D. Platt","1.0 out of 5 stars","Ordered because these shirts were listed as being made from polyester. However, they are 100% cotton and I CANNOT use them for sublimation.
Very disappointed and will have to return."
"michael harris","1.0 out of 5 stars","I love this brand of t-shirts however they have tarnished their name with this line. I regret ordering these. They are so thin they can't be worn. I will use them for rags. Shame on Gildan for putting these out there. Trust me do not buy these."
"S Do","1.0 out of 5 stars","At first, I like the material, they're comfortable just like the more expensive ones.
However, they quickly become not very usable after a few washes because they shrunk 1 size down.
I don't want to return them since I already washed them, but I'm quite disappointed."
"jwel","1.0 out of 5 stars","Who can rate comfort, softness, and moisture-wicking when this T-shirt shrinks one size in a Gentle, Cold-water washer and a dryer set at Delicate-Cool? On first inspection, they appeared small and were tight-fitting; after being laundered, way too small to fit. Nice theory; poor practice."
"robert sherman","1.0 out of 5 stars","I am very disappointed with this product. I followed all of the directions to iron it onto my tshirts and it did not work at all. The paper was very difficult to get off and when it did come off it ripped in half and ruined my shirt. I couldn't even get it all off. The design was ruined and I could not fix it. I will not be buying this product again."
"Robert F Jermano","1.0 out of 5 stars","This was the first time I bought a Gildan product.
The product was delivered before the given delivery date (a plus). I opened the package and tried on a T-shirt for fit and it felt great, just right - length, shoulders, armpit, etc. So, I put the T's in the washer (cold) with other similar colors, normal wash and dry process. When I removed from the dryer to fold they looked significantly smaller so I tried one on. They don't fit anymore! They shrunk so much they are not long enough to tuck in my pants and are very tight around the armpit stitch. Unwearable! Please be forewarned: if you buy this product make sure you order at one or two sizes larger. I would recommend going with Hanes, Fruit or another brand."
"Hal","1.0 out of 5 stars","So. I ordered these shirts. It is not possible to return them, at least not in the normal sense. They were sent via Fed Ex. I realized I ordered the wrong size and IMMEDIATELY tried to cancel the order. I've been waiting on an ""email"" from ""FANTASTICAL GROUP"" that will theoretically allow me to get my $36 back.
I am zero happy."
"M","1.0 out of 5 stars","I bought these shirts because it is a brand we have been buying and love. But unlike all of our other Gildan shirts, these shrunk and took lint in the dryer and feel thin and cheap. I was expecting the same quality we had before from Gildan of the strong long lasting cotton, and these shirts felt like dollar store quality."
"Dana Ryan","1.0 out of 5 stars","I bought these for my bf and they are horrible. I just washed them and they shrunk like a whole size and the stitching is coming undone. He didn’t even wear them yet. I wanted to wash them 1st before he did. I will definitely not buy any other shirts like these. Why is it so hard to find a nice t shirt for a man?"
"Jeremy Adams","1.0 out of 5 stars","I don't leave many reviews on products, especially bad ones, but I feel morally obligated to warn people about these shirts. They are terrible. If they're actually made from cotton as they claim, it must have been from the absolutely worst part of the cotton plant (or maybe the dirt they were planted in?). I ordered two sets and decided to risk washing one of them to see if they would soften up. They didn't. They literally feel like sandpaper. If you're someone who has sensitive skin issues (eczema, dermatitis, allergies, or whatever) and are looking for an inexpensive cotton shirt, DO NOT BUY THIS ONE."
"Peter","1.0 out of 5 stars","I have purchased the same product previously and they were great, this most recent purchase of Ten shirts for some reason are four inches longer then before? No where on the order do they say big & tall or designed to tick in...
Irritating waste of money. Description should say dress & not t shirt imo"
"J & S","1.0 out of 5 stars","Ordered these as under shirts for work and they significantly shrunk after the first wash/dry. I see this as poor quality, but if you still want to buy get at least the next size up. For me, this is throw away and I'll be going back to non discount brands.
For reference I am 6'2"" weigh 200lbs and ordered a large"
"Mario","1.0 out of 5 stars","These can only be used once. Once you wash them they start to discolor and have a weird yellow tint to them and once dried they shrink."
"Svitlana","1.0 out of 5 stars","After one wash the stitching came undone. Very disappointed."
"Tony B.","1.0 out of 5 stars","After ONE wash, the shirts had holes, seriously, as if the shirts were 10 years old. Will not purchase here again"
"Kevin & Liz","",""
"Kevin","1.0 out of 5 stars","Bought 2 sets of these 12 total shirts. Here we are a month later and two of then the seams are coming undone. I use them as under shirts and they feel great. But i'd expect them to last longer then a month. Return date closed 2 days ago and now im stuck with shirts that arent lasting. Thats why the 1 star rating. Had i been able to exchange them. I probably would have given these a 4 star.."
"Glenn Marsh","1.0 out of 5 stars","i prefer a fitted t-shirt that is soft and comfortable. these are not comfortable, soft or fitted. because they're 100% cotton after they're washed they look crinkled and there's no way i'm ironing a t-shirt. maybe as an undershirt, these would be ok. these t-shirts are donated to the goodwill."
"Chase","1.0 out of 5 stars","Worn this maybe thrice and found a hole. Would not buy again. Would urge others not to either."
"David Lipka","1.0 out of 5 stars","Didn’t see any reviews that talked about how much the shirts shrink when washed. These shrunk from XL to close to medium. Where the arms fit fine out of the package, they converted into unwearable after washing. Very disappointed."
"Bobby","1.0 out of 5 stars","I like buying these shirts they fit great and last along time ...but 3 were missing out of a 5 pack and they barely reimbursed me...
EDIT: I ordered another 5 pack. said delayed everyday for a week saying it will be delivered the next day. so i finally just canceled the order. too bad these are awesome shirts will have to find a different brand!"
"Margaret","1.0 out of 5 stars","These are a sorry excuse for workout shirts, they are way thicker fabric than any gym shirt I've bought and they wrinkle so bad in the wash that I cant even wear them outside its embarrassing. Guess you get what you pay for, going to use them as work undershirts instead at least that way they are hidden from view. Sigh."
"Troy Hayden","1.0 out of 5 stars","Shirt length shrunk up after 1st wash. Barely below belt line...unwearable. usually have good experience with gildan products...bummed. should have bought 2xlt"
"Pete Milah","1.0 out of 5 stars","Poor fit. Picture shows a tapered body but these shirts fit like a bag. Sleeves do not fit well either."
"Monica","1.0 out of 5 stars","While I don't like writing bad revues because I understand it hurts the business, this was a must as I tried to resolve this by calling the customer service.
We bought several packs at once for our small business. the shirts are so low quality, they will start tearing up during the first wear in seams followed by the holes all over the products.
Their customer service is also bad.
The representative followed the script and asked me to send pictures of the damages so they could decide if I can get a replacement of their terrible product. No thanks."
"End User","1.0 out of 5 stars","Upon receipt these tees were laundered together with tees of two other brands (Costco's Kirkland and Fruit of the Loom). The tees from the ""two other brands"" are fine: They retained their thickness, shape and feel. The Gildans, on the other hand, feel ""old."" That is, they lost body and shape and resemble shirts that have been laundered many, many times. Never had a product do this before. My recommendation: Buy anything else. There isn't a significant price difference but quality-wise..............Wow!"
"Tom","1.0 out of 5 stars","i have worn this twice and the stitching is already falling apart. Totally unacceptable. I would not recommend anybody purchases these given how fast they fall apart. I will contact seller and let you know if they stand behind their product."
"Bob D","1.0 out of 5 stars","Such a shame. They fit great and look good - but 2 of the 5 shirts have holes in them right out of the package. If they can't hold up out of the factory - a few trips through the washing machine will probably finish them."
"Amazon Customer","1.0 out of 5 stars","Received my order of these shirts and tried one on. The fit was somewhat snug, though that is how I generally like my t-shirt to fit. Washed them following the care instructions before wearing and they shrunk terribly. Not the usual first-time-washed shrinkage. No. I'm talking down two sizes shrinkage. Sleeves turned into cap sleeves they were so short, and the shirt itself didn't even reach my belt line. Really disappointed with how this turned out because I can't even return them since they've been washed.
Buy a size larger than usual, at least, if you're purchasing some of these."
"Joshua Osborne","1.0 out of 5 stars","I really dislike how much these shrink after one wash. I have bought many different kind of undershirts before and have never seen this sort of shrinkage before. They are very uncomfortable at the armpits and rise to almost above waistline after it. Overall, seems like meh quality and the shrinking makes them almost unwearable."
"Keving","1.0 out of 5 stars","These shrinkbup about 2 full sizes when washing! Forget about trying to get the massive wrinkles out as well, no chance! May be ok under other shirts, but no good if you intend to wear it alone!"
"matt owen","1.0 out of 5 stars","The description promised a fabric that would feel soft. It couldn’t be further from the truth. I’ve opened the packet, tried one on and will never put it on again. Proportions not as expected, material fairly course for a cotton material and all round too big for an under layer."
"Abian","1.0 out of 5 stars","Shirt quality is horrible. Fits very loose like i just got out of a shirt pulling party. If your looking for a fitted shirt these aren't it. Plus they strink tremendously after a couple washes"
"j","1.0 out of 5 stars","I am having trouble replacing these tshirts. 3 of the 6 of the T-shirt’s have a hole in the armpit of the shirt. It appears to have missed the sewing.
They fit well and have good material I just want a replacement for the ones with holes.
?"
"Sarah","1.0 out of 5 stars","I thought these would be a great deal but the cut on them is horrible. They pinch in the arm pits and are tight on the chest but very loose in the belly. If you’ve ever done any pushups or pulls up and don’t have a bear gut, look elsewhere"
"Kerry Logan","1.0 out of 5 stars","Seams ripping apart under the arms. I am a field service engineer and my work is not hard on clothing, as it would be for a carpenter or construction worker. These shirts can't handle just regular wear and laundry."
"Steven Clarkq","1.0 out of 5 stars","Shirts gave me a rash. Not 100% cotton. Threw them all in the rag pile. Can't wear them. Must be some kind of blend. The material lable is a lie. That's what I get for buying the cheapest shirts on Amazon.."
"jerilynnferg","1.0 out of 5 stars","These shirts shrunk significantly after one wash in cold and one dry on low. What a complete waste of money and I made the mistake of buying multiple packs thinking I could rely on what I thought was a quality brand name. The large now fit like medium or small. Completely unwearable for my husband."
"Jhin","1.0 out of 5 stars","you cant even just wear this casually and go out. looks like ur wearing one piece or something. fit is so bad everything is so loose you dnt even look good. I had the right size but its just the way it looks make u look like you are in 1990s LOL"
"J","1.0 out of 5 stars","I got these before and they were much better quality. The neck gets all loose and nasty looking throughout the day. Bacon neck Supreme. Won't buy again."
"Michael","1.0 out of 5 stars","I washed these and wore them once and they have holes in the arms. Do yourself a favor and listen to all of the awful reviews on this product. This is the first bad review I have ever had to write on a product I ordered from amazon. Very poor quality, stick with Hanes or anything else."
"GoEasyMan","1.0 out of 5 stars","Great price, average quality BUT THREE shirts came with a hole in this same spot. Had to be a manufacturing defect as it did not penetrate through the back and was on at least 3 shirts. DO NOT BUY!!!"
"Becca","1.0 out of 5 stars","I bought these for my husband and he got 1 use out of them. We were initially happy because they seem to be long enough. Then we washed them, and even hung them dry to prevent additional shrinking. They are belly shirts on him now. the moment he barely lifts his arms you can see his belly button. Not purchasing again."
"William K. Wiley","1.0 out of 5 stars","I have had many Gildan shirts in the past that were great quality. These are NOT! I tried both Large and X Large and had to send them back. I normally wear a large in just about every other T-shirt. The larges are more like mediums. The Large and X Large are very short in the length. They do not stay tucked in. They do not hold their shape. The collars are horrible. This is not a quality product!"
"Amazon Customer","1.0 out of 5 stars","These shirts were so bad I had to return them. The first thing I noticed was the 100% cotton did not feel like cotton at all. It felt much more like polyester. Still I thought I would try them on and it only got worse from there. The sleeves were sewn too far back and I felt a constant tugging at my shoulders. No matter how I tried I could not make it comfortable, although I will say it was better when I tried them on backwards. It just took a few minutes to figure out I had to return them. I will say Amazon made it easy to return and I promptly got the return credit."
"Michael M","1.0 out of 5 stars","The shirts shrank unbelievably on first wash. Out of package, the length was well below belt line. After initial wash, they were barely at belt line. There is no way these shirts would stay tucked in underneath my dress shirts. And these were washed cold, 15 min. damp dried then hung up."
"Love to teach","1.0 out of 5 stars","Thin material. I usually buy the Kirkland brand from Costco, they are probably twice as thick as these. Will not buy these again.
9/11/18: Update: They get worse as you wash them. These shirts embody all the things I hate about cheap undergarments. Fabric stretches weird ways, they do not stay uniform."
"Amazon Customer","1.0 out of 5 stars","This set of shirts was great until I washed them. They went from a large to a small/extra small. There is no way to avoid this. They were washed in cold water. Just cheap. I guess I need to pay the extra $ for better quality. They are unusable after 3 washes because of how much they have shrunk. Buy Hanes instead"
"Jesse M","1.0 out of 5 stars","I have no idea when companies decided that undershirts needed to be long enough that you could use it as a dress but for some reason all these shirts are entirely too long."
"Jason Hale","1.0 out of 5 stars","Package came today, the bag the shirts were in was completely torn open at the top. One of the shirts has blue stains around the collar and all over the chest, in addition to a few small brown spots near the collar and right shoulder. Very disappointed."
"Dave Curtis","1.0 out of 5 stars","Four reasons not to buy these t-shirts: They run very small; an XL fits like a tight large. The sleeves are very short. They will shrink when you wash them. The neck, while nicely finished, is uncomfortable. As my wife says, ""You get what you pay for."""
"Amazon Customer","1.0 out of 5 stars","The shirts were not a bright white color when washed they formed a yellow color and shrunk to the point where they cannot be worn. Very disappointed and not worthy to order ever again."
"Terry henson","1.0 out of 5 stars","I bought these shirts online because i could no longer find at wal mart bought the same size that i bought at the store and they fit very differently ! I use them as undershirts for work now i look sloppy because they hang way below my work shirts and i loved them specifically for the reason that they were not long and i bought 2 packs of 6 thats 12 shirts i reall hate and im stuck with them now please send me the xl that are short in length and i will send back the ones that im disappointed with but gildans are great other wise"
"SteveX82","1.0 out of 5 stars","Does not come in the colors indicated - received various shades of gray, instead. I ended up returning them."
"Christ T. Kazias","1.0 out of 5 stars","If you want threads coming out of your sleeves, then this is the T to purchase.
Very unhappy with the quality and the T's are very thin in material."
"B J","1.0 out of 5 stars","I bought these for my husband. Straight out of the package, shirts had holes in them. Wouldn't recommend at all. These are a waste of money."
"brian w.","1.0 out of 5 stars","As other reviews stated these things look as if they are made my union workers in America. They are very low quality with loose strings everywhere. I will never buy Gildan again. Too many other options out there."
"Daniel Boss","1.0 out of 5 stars","Cheap quality becomes too tight to wear after first wash. But hey.. you get what you pay for. Ain’t buying shirts these cheap anymore. Learned my lesson. Will waste more $ in the long haul buying cheap shirts rather than more expensive shirts with superior quality (that actually stretch) instead of shrink"
"Larry","1.0 out of 5 stars","This shirt is way to short and the material is poor quality. Shrinks a lot when you wash it and only lasts too wear a handful of times. The worst part is the collar it stretches and wrinkles horribly."
"Dahlia Stokell","1.0 out of 5 stars","I purchased these in July and now in October, just three months later they are falling apart! Not worn for work or abused in any way. So they are just very cheaply made and poor quality."
"Auzzy","1.0 out of 5 stars","Tight at the top, loose at the bottom, short, and crap material. If you're not short and wide, probably won't work for you."
"Mary J. Pratt","1.0 out of 5 stars","First of all I expected a brand of shirt that I knew but got these instead.
I washed and dried them to see how they were, after all it's just a white T-shirt.
They were so twisted and out of shape when they came out of the dryer that I couldn't even fold them.
The knit fabric did not lay flat at all.
A big disappointment. Good only for night shirts... or dusting."
"p.ferguson","1.0 out of 5 stars","So gildan was always good it’s a shame . I would have returned but need shirts fast . I say no ... poor quality."
"Amazon Customer","1.0 out of 5 stars","Bad quality packing, bad quality t-shirt, dirty product. Packed like a ham. Returning, and reconsidering Amazon as my e-commerce website. Full of unknown brands with poor quality products and too many fake knock-offs."
"D&B","1.0 out of 5 stars","Material is suspect. It stretches out and loses its shape. I’m not happy. I’ve had them for 10 months or so. Fits good, but I won’t buy again"
"Moe-Money-Moe-Problems","1.0 out of 5 stars","Don't waste your money. They're cheap. The waistline is too wide. Does not fit well at all. It also washes up terribly"
